state,county,office,party,candidate,votes,STATEFP,STATENAME,COUNTYFP,NEIGHBORS
KY,Anderson,President,,Write-In,0.0,21,Kentucky,005,"Nelson, Woodford, Washington, Mercer, Spencer, Franklin, Shelby"
KY,Ballard,President,Republican Party,Donald J. Trump,3161.0,21,Kentucky,007,"Pulaski, Alexander, Mississippi, McCracken, Carlisle"
KY,Ballard,President,Democratic Party,Hillary Clinton,816.0,21,Kentucky,007,"Pulaski, Alexander, Mississippi, McCracken, Carlisle"
KY,Ballard,President,Libertarian Party,Gary Johnson,77.0,21,Kentucky,007,"Pulaski, Alexander, Mississippi, McCracken, Carlisle"
KY,Ballard,President,,Evan Mcmullin,23.0,21,Kentucky,007,"Pulaski, Alexander, Mississippi, McCracken, Carlisle"
KY,Ballard,President,Green Party ,Jill Stein,20.0,21,Kentucky,007,"Pulaski, Alexander, Mississippi, McCracken, Carlisle"
KY,Ballard,President,,Rocky De La Fuente,4.0,21,Kentucky,007,"Pulaski, Alexander, Mississippi, McCracken, Carlisle"
KY,Ballard,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,007,"Pulaski, Alexander, Mississippi, McCracken, Carlisle"
KY,Ballard,President,,Write-In,0.0,21,Kentucky,007,"Pulaski, Alexander, Mississippi, McCracken, Carlisle"
KY,Barren,President,Republican Party,Donald J. Trump,13483.0,21,Kentucky,009,"Hart, Allen, Monroe, Warren, Metcalfe, Edmonson"
KY,Barren,President,Democratic Party,Hillary Clinton,4275.0,21,Kentucky,009,"Hart, Allen, Monroe, Warren, Metcalfe, Edmonson"
KY,Barren,President,Libertarian Party,Gary Johnson,455.0,21,Kentucky,009,"Hart, Allen, Monroe, Warren, Metcalfe, Edmonson"
KY,Barren,President,,Evan Mcmullin,167.0,21,Kentucky,009,"Hart, Allen, Monroe, Warren, Metcalfe, Edmonson"
KY,Barren,President,Green Party ,Jill Stein,93.0,21,Kentucky,009,"Hart, Allen, Monroe, Warren, Metcalfe, Edmonson"
KY,Barren,President,,Rocky De La Fuente,10.0,21,Kentucky,009,"Hart, Allen, Monroe, Warren, Metcalfe, Edmonson"
KY,Barren,President,Constitution Party,Darrell Castle,5.0,21,Kentucky,009,"Hart, Allen, Monroe, Warren, Metcalfe, Edmonson"
KY,Barren,President,,Write-In,0.0,21,Kentucky,009,"Hart, Allen, Monroe, Warren, Metcalfe, Edmonson"
KY,Bath,President,Republican Party,Donald J. Trump,3082.0,21,Kentucky,011,"Bourbon, Fleming, Nicholas, Rowan, Menifee, Montgomery"
KY,Bath,President,Democratic Party,Hillary Clinton,1361.0,21,Kentucky,011,"Bourbon, Fleming, Nicholas, Rowan, Menifee, Montgomery"
KY,Bath,President,Libertarian Party,Gary Johnson,75.0,21,Kentucky,011,"Bourbon, Fleming, Nicholas, Rowan, Menifee, Montgomery"
KY,Bath,President,,Evan Mcmullin,35.0,21,Kentucky,011,"Bourbon, Fleming, Nicholas, Rowan, Menifee, Montgomery"
KY,Bath,President,Green Party ,Jill Stein,24.0,21,Kentucky,011,"Bourbon, Fleming, Nicholas, Rowan, Menifee, Montgomery"
KY,Bath,President,,Rocky De La Fuente,6.0,21,Kentucky,011,"Bourbon, Fleming, Nicholas, Rowan, Menifee, Montgomery"
KY,Bath,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,011,"Bourbon, Fleming, Nicholas, Rowan, Menifee, Montgomery"
KY,Bath,President,,Write-In,4.0,21,Kentucky,011,"Bourbon, Fleming, Nicholas, Rowan, Menifee, Montgomery"
KY,Bell,President,Republican Party,Donald J. Trump,7764.0,21,Kentucky,013,"Leslie, Clay, Claiborne, Lee, Whitley, Knox, Harlan"
KY,Bell,President,Democratic Party,Hillary Clinton,1720.0,21,Kentucky,013,"Leslie, Clay, Claiborne, Lee, Whitley, Knox, Harlan"
KY,Bell,President,Libertarian Party,Gary Johnson,144.0,21,Kentucky,013,"Leslie, Clay, Claiborne, Lee, Whitley, Knox, Harlan"
KY,Bell,President,,Evan Mcmullin,44.0,21,Kentucky,013,"Leslie, Clay, Claiborne, Lee, Whitley, Knox, Harlan"
KY,Bell,President,Green Party ,Jill Stein,42.0,21,Kentucky,013,"Leslie, Clay, Claiborne, Lee, Whitley, Knox, Harlan"
KY,Bell,President,,Rocky De La Fuente,4.0,21,Kentucky,013,"Leslie, Clay, Claiborne, Lee, Whitley, Knox, Harlan"
KY,Bell,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,013,"Leslie, Clay, Claiborne, Lee, Whitley, Knox, Harlan"
KY,Bell,President,,Write-In,0.0,21,Kentucky,013,"Leslie, Clay, Claiborne, Lee, Whitley, Knox, Harlan"
KY,Boone,President,Republican Party,Donald J. Trump,39082.0,21,Kentucky,015,"Hamilton, Ohio, Gallatin, Dearborn, Switzerland, Grant, Kenton"
KY,Boone,President,Democratic Party,Hillary Clinton,15026.0,21,Kentucky,015,"Hamilton, Ohio, Gallatin, Dearborn, Switzerland, Grant, Kenton"
KY,Boone,President,Libertarian Party,Gary Johnson,2299.0,21,Kentucky,015,"Hamilton, Ohio, Gallatin, Dearborn, Switzerland, Grant, Kenton"
KY,Boone,President,,Evan Mcmullin,763.0,21,Kentucky,015,"Hamilton, Ohio, Gallatin, Dearborn, Switzerland, Grant, Kenton"
KY,Boone,President,Green Party ,Jill Stein,380.0,21,Kentucky,015,"Hamilton, Ohio, Gallatin, Dearborn, Switzerland, Grant, Kenton"
KY,Boone,President,,Rocky De La Fuente,20.0,21,Kentucky,015,"Hamilton, Ohio, Gallatin, Dearborn, Switzerland, Grant, Kenton"
KY,Boone,President,Constitution Party,Darrell Castle,41.0,21,Kentucky,015,"Hamilton, Ohio, Gallatin, Dearborn, Switzerland, Grant, Kenton"
KY,Boone,President,,Write-In,7.0,21,Kentucky,015,"Hamilton, Ohio, Gallatin, Dearborn, Switzerland, Grant, Kenton"
KY,Bourbon,President,Republican Party,Donald J. Trump,5569.0,21,Kentucky,017,"Clark, Harrison, Nicholas, Scott, Bath, Fayette, Montgomery"
KY,Bourbon,President,Democratic Party,Hillary Clinton,2791.0,21,Kentucky,017,"Clark, Harrison, Nicholas, Scott, Bath, Fayette, Montgomery"
KY,Bourbon,President,Libertarian Party,Gary Johnson,283.0,21,Kentucky,017,"Clark, Harrison, Nicholas, Scott, Bath, Fayette, Montgomery"
KY,Bourbon,President,,Evan Mcmullin,96.0,21,Kentucky,017,"Clark, Harrison, Nicholas, Scott, Bath, Fayette, Montgomery"
KY,Bourbon,President,Green Party ,Jill Stein,52.0,21,Kentucky,017,"Clark, Harrison, Nicholas, Scott, Bath, Fayette, Montgomery"
KY,Bourbon,President,,Rocky De La Fuente,4.0,21,Kentucky,017,"Clark, Harrison, Nicholas, Scott, Bath, Fayette, Montgomery"
KY,Bourbon,President,Constitution Party,Darrell Castle,5.0,21,Kentucky,017,"Clark, Harrison, Nicholas, Scott, Bath, Fayette, Montgomery"
KY,Bourbon,President,,Write-In,3.0,21,Kentucky,017,"Clark, Harrison, Nicholas, Scott, Bath, Fayette, Montgomery"
KY,Boyd,President,Republican Party,Donald J. Trump,13591.0,21,Kentucky,019,"Carter, Wayne, Greenup, Lawrence, Lawrence"
KY,Boyd,President,Democratic Party,Hillary Clinton,6021.0,21,Kentucky,019,"Carter, Wayne, Greenup, Lawrence, Lawrence"
KY,Boyd,President,Libertarian Party,Gary Johnson,496.0,21,Kentucky,019,"Carter, Wayne, Greenup, Lawrence, Lawrence"
KY,Boyd,President,,Evan Mcmullin,168.0,21,Kentucky,019,"Carter, Wayne, Greenup, Lawrence, Lawrence"
KY,Boyd,President,Green Party ,Jill Stein,167.0,21,Kentucky,019,"Carter, Wayne, Greenup, Lawrence, Lawrence"
KY,Boyd,President,,Rocky De La Fuente,11.0,21,Kentucky,019,"Carter, Wayne, Greenup, Lawrence, Lawrence"
KY,Boyd,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,019,"Carter, Wayne, Greenup, Lawrence, Lawrence"
KY,Boyd,President,,Write-In,0.0,21,Kentucky,019,"Carter, Wayne, Greenup, Lawrence, Lawrence"
KY,Boyle,President,Republican Party,Donald J. Trump,8040.0,21,Kentucky,021,"Marion, Washington, Mercer, Garrard, Casey, Lincoln"
KY,Boyle,President,Democratic Party,Hillary Clinton,4281.0,21,Kentucky,021,"Marion, Washington, Mercer, Garrard, Casey, Lincoln"
KY,Boyle,President,Libertarian Party,Gary Johnson,365.0,21,Kentucky,021,"Marion, Washington, Mercer, Garrard, Casey, Lincoln"
KY,Boyle,President,,Evan Mcmullin,169.0,21,Kentucky,021,"Marion, Washington, Mercer, Garrard, Casey, Lincoln"
KY,Boyle,President,Green Party ,Jill Stein,73.0,21,Kentucky,021,"Marion, Washington, Mercer, Garrard, Casey, Lincoln"
KY,Boyle,President,,Rocky De La Fuente,10.0,21,Kentucky,021,"Marion, Washington, Mercer, Garrard, Casey, Lincoln"
KY,Boyle,President,Constitution Party,Darrell Castle,3.0,21,Kentucky,021,"Marion, Washington, Mercer, Garrard, Casey, Lincoln"
KY,Boyle,President,,Write-In,5.0,21,Kentucky,021,"Marion, Washington, Mercer, Garrard, Casey, Lincoln"
KY,Bracken,President,Republican Party,Donald J. Trump,2711.0,21,Kentucky,023,"Harrison, Robertson, Clermont, Pendleton, Brown, Mason"
KY,Bracken,President,Democratic Party,Hillary Clinton,705.0,21,Kentucky,023,"Harrison, Robertson, Clermont, Pendleton, Brown, Mason"
KY,Bracken,President,Libertarian Party,Gary Johnson,51.0,21,Kentucky,023,"Harrison, Robertson, Clermont, Pendleton, Brown, Mason"
KY,Bracken,President,,Evan Mcmullin,35.0,21,Kentucky,023,"Harrison, Robertson, Clermont, Pendleton, Brown, Mason"
KY,Bracken,President,Green Party ,Jill Stein,20.0,21,Kentucky,023,"Harrison, Robertson, Clermont, Pendleton, Brown, Mason"
KY,Bracken,President,,Rocky De La Fuente,5.0,21,Kentucky,023,"Harrison, Robertson, Clermont, Pendleton, Brown, Mason"
KY,Bracken,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,023,"Harrison, Robertson, Clermont, Pendleton, Brown, Mason"
KY,Bracken,President,,Write-In,0.0,21,Kentucky,023,"Harrison, Robertson, Clermont, Pendleton, Brown, Mason"
KY,Breathitt,President,Republican Party,Donald J. Trump,3991.0,21,Kentucky,025,"Owsley, Wolfe, Knott, Magoffin, Perry, Lee"
KY,Breathitt,President,Democratic Party,Hillary Clinton,1537.0,21,Kentucky,025,"Owsley, Wolfe, Knott, Magoffin, Perry, Lee"
KY,Breathitt,President,Libertarian Party,Gary Johnson,117.0,21,Kentucky,025,"Owsley, Wolfe, Knott, Magoffin, Perry, Lee"
KY,Breathitt,President,,Evan Mcmullin,48.0,21,Kentucky,025,"Owsley, Wolfe, Knott, Magoffin, Perry, Lee"
KY,Breathitt,President,Green Party ,Jill Stein,35.0,21,Kentucky,025,"Owsley, Wolfe, Knott, Magoffin, Perry, Lee"
KY,Breathitt,President,,Rocky De La Fuente,7.0,21,Kentucky,025,"Owsley, Wolfe, Knott, Magoffin, Perry, Lee"
KY,Breathitt,President,Constitution Party,Darrell Castle,2.0,21,Kentucky,025,"Owsley, Wolfe, Knott, Magoffin, Perry, Lee"
KY,Breathitt,President,,Write-In,1.0,21,Kentucky,025,"Owsley, Wolfe, Knott, Magoffin, Perry, Lee"
KY,Breckinridge,President,Republican Party,Donald J. Trump,6484.0,21,Kentucky,027,"Hardin, Grayson, Ohio, Perry, Meade, Hancock"
KY,Breckinridge,President,Democratic Party,Hillary Clinton,1960.0,21,Kentucky,027,"Hardin, Grayson, Ohio, Perry, Meade, Hancock"
KY,Breckinridge,President,Libertarian Party,Gary Johnson,194.0,21,Kentucky,027,"Hardin, Grayson, Ohio, Perry, Meade, Hancock"
KY,Breckinridge,President,,Evan Mcmullin,80.0,21,Kentucky,027,"Hardin, Grayson, Ohio, Perry, Meade, Hancock"
KY,Breckinridge,President,Green Party ,Jill Stein,47.0,21,Kentucky,027,"Hardin, Grayson, Ohio, Perry, Meade, Hancock"
KY,Breckinridge,President,,Rocky De La Fuente,6.0,21,Kentucky,027,"Hardin, Grayson, Ohio, Perry, Meade, Hancock"
KY,Breckinridge,President,Constitution Party,Darrell Castle,3.0,21,Kentucky,027,"Hardin, Grayson, Ohio, Perry, Meade, Hancock"
KY,Breckinridge,President,,Write-In,0.0,21,Kentucky,027,"Hardin, Grayson, Ohio, Perry, Meade, Hancock"
KY,Bullitt,President,Republican Party,Donald J. Trump,26210.0,21,Kentucky,029,"Hardin, Nelson, Jefferson, Spencer"
KY,Bullitt,President,Democratic Party,Hillary Clinton,8255.0,21,Kentucky,029,"Hardin, Nelson, Jefferson, Spencer"
KY,Bullitt,President,Libertarian Party,Gary Johnson,964.0,21,Kentucky,029,"Hardin, Nelson, Jefferson, Spencer"
KY,Bullitt,President,,Evan Mcmullin,354.0,21,Kentucky,029,"Hardin, Nelson, Jefferson, Spencer"
KY,Bullitt,President,Green Party ,Jill Stein,253.0,21,Kentucky,029,"Hardin, Nelson, Jefferson, Spencer"
KY,Bullitt,President,,Rocky De La Fuente,18.0,21,Kentucky,029,"Hardin, Nelson, Jefferson, Spencer"
KY,Bullitt,President,Constitution Party,Darrell Castle,10.0,21,Kentucky,029,"Hardin, Nelson, Jefferson, Spencer"
KY,Bullitt,President,,Write-In,5.0,21,Kentucky,029,"Hardin, Nelson, Jefferson, Spencer"
KY,Butler,President,Republican Party,Donald J. Trump,4428.0,21,Kentucky,031,"Grayson, Ohio, Logan, Warren, Edmonson, Muhlenberg"
KY,Butler,President,Democratic Party,Hillary Clinton,947.0,21,Kentucky,031,"Grayson, Ohio, Logan, Warren, Edmonson, Muhlenberg"
KY,Butler,President,Libertarian Party,Gary Johnson,136.0,21,Kentucky,031,"Grayson, Ohio, Logan, Warren, Edmonson, Muhlenberg"
KY,Butler,President,,Evan Mcmullin,53.0,21,Kentucky,031,"Grayson, Ohio, Logan, Warren, Edmonson, Muhlenberg"
KY,Butler,President,Green Party ,Jill Stein,11.0,21,Kentucky,031,"Grayson, Ohio, Logan, Warren, Edmonson, Muhlenberg"
KY,Butler,President,,Rocky De La Fuente,1.0,21,Kentucky,031,"Grayson, Ohio, Logan, Warren, Edmonson, Muhlenberg"
KY,Butler,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,031,"Grayson, Ohio, Logan, Warren, Edmonson, Muhlenberg"
KY,Butler,President,,Write-In,0.0,21,Kentucky,031,"Grayson, Ohio, Logan, Warren, Edmonson, Muhlenberg"
KY,Caldwell,President,Republican Party,Donald J. Trump,4507.0,21,Kentucky,033,"Crittenden, Trigg, Lyon, Christian, Webster, Hopkins"
KY,Caldwell,President,Democratic Party,Hillary Clinton,1260.0,21,Kentucky,033,"Crittenden, Trigg, Lyon, Christian, Webster, Hopkins"
KY,Caldwell,President,Libertarian Party,Gary Johnson,118.0,21,Kentucky,033,"Crittenden, Trigg, Lyon, Christian, Webster, Hopkins"
KY,Caldwell,President,,Evan Mcmullin,55.0,21,Kentucky,033,"Crittenden, Trigg, Lyon, Christian, Webster, Hopkins"
KY,Caldwell,President,Green Party ,Jill Stein,32.0,21,Kentucky,033,"Crittenden, Trigg, Lyon, Christian, Webster, Hopkins"
KY,Caldwell,President,,Rocky De La Fuente,3.0,21,Kentucky,033,"Crittenden, Trigg, Lyon, Christian, Webster, Hopkins"
KY,Caldwell,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,033,"Crittenden, Trigg, Lyon, Christian, Webster, Hopkins"
KY,Caldwell,President,,Write-In,0.0,21,Kentucky,033,"Crittenden, Trigg, Lyon, Christian, Webster, Hopkins"
KY,Calloway,President,Republican Party,Donald J. Trump,10367.0,21,Kentucky,035,"Graves, Stewart, Trigg, Marshall, Henry"
KY,Calloway,President,Democratic Party,Hillary Clinton,4749.0,21,Kentucky,035,"Graves, Stewart, Trigg, Marshall, Henry"
KY,Calloway,President,Libertarian Party,Gary Johnson,492.0,21,Kentucky,035,"Graves, Stewart, Trigg, Marshall, Henry"
KY,Calloway,President,,Evan Mcmullin,281.0,21,Kentucky,035,"Graves, Stewart, Trigg, Marshall, Henry"
KY,Calloway,President,Green Party ,Jill Stein,150.0,21,Kentucky,035,"Graves, Stewart, Trigg, Marshall, Henry"
KY,Calloway,President,,Rocky De La Fuente,6.0,21,Kentucky,035,"Graves, Stewart, Trigg, Marshall, Henry"
KY,Calloway,President,Constitution Party,Darrell Castle,4.0,21,Kentucky,035,"Graves, Stewart, Trigg, Marshall, Henry"
KY,Calloway,President,,Write-In,0.0,21,Kentucky,035,"Graves, Stewart, Trigg, Marshall, Henry"
KY,Campbell,President,Republican Party,Donald J. Trump,25050.0,21,Kentucky,037,"Hamilton, Clermont, Pendleton, Kenton"
KY,Campbell,President,Democratic Party,Hillary Clinton,14658.0,21,Kentucky,037,"Hamilton, Clermont, Pendleton, Kenton"
KY,Campbell,President,Libertarian Party,Gary Johnson,1789.0,21,Kentucky,037,"Hamilton, Clermont, Pendleton, Kenton"
KY,Campbell,President,,Evan Mcmullin,552.0,21,Kentucky,037,"Hamilton, Clermont, Pendleton, Kenton"
KY,Campbell,President,Green Party ,Jill Stein,422.0,21,Kentucky,037,"Hamilton, Clermont, Pendleton, Kenton"
KY,Campbell,President,,Rocky De La Fuente,18.0,21,Kentucky,037,"Hamilton, Clermont, Pendleton, Kenton"
KY,Campbell,President,Constitution Party,Darrell Castle,14.0,21,Kentucky,037,"Hamilton, Clermont, Pendleton, Kenton"
KY,Campbell,President,,Write-In,7.0,21,Kentucky,037,"Hamilton, Clermont, Pendleton, Kenton"
KY,Carlisle,President,Republican Party,Donald J. Trump,2094.0,21,Kentucky,039,"Ballard, Mississippi, Graves, McCracken, Hickman"
KY,Carlisle,President,Democratic Party,Hillary Clinton,432.0,21,Kentucky,039,"Ballard, Mississippi, Graves, McCracken, Hickman"
KY,Carlisle,President,Libertarian Party,Gary Johnson,42.0,21,Kentucky,039,"Ballard, Mississippi, Graves, McCracken, Hickman"
KY,Carlisle,President,,Evan Mcmullin,19.0,21,Kentucky,039,"Ballard, Mississippi, Graves, McCracken, Hickman"
KY,Carlisle,President,Green Party ,Jill Stein,12.0,21,Kentucky,039,"Ballard, Mississippi, Graves, McCracken, Hickman"
KY,Carlisle,President,,Rocky De La Fuente,2.0,21,Kentucky,039,"Ballard, Mississippi, Graves, McCracken, Hickman"
KY,Carlisle,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,039,"Ballard, Mississippi, Graves, McCracken, Hickman"
KY,Carlisle,President,,Write-In,0.0,21,Kentucky,039,"Ballard, Mississippi, Graves, McCracken, Hickman"
KY,Carroll,President,Republican Party,Donald J. Trump,2588.0,21,Kentucky,041,"Owen, Gallatin, Henry, Switzerland, Jefferson, Trimble"
KY,Carroll,President,Democratic Party,Hillary Clinton,1106.0,21,Kentucky,041,"Owen, Gallatin, Henry, Switzerland, Jefferson, Trimble"
KY,Carroll,President,Libertarian Party,Gary Johnson,100.0,21,Kentucky,041,"Owen, Gallatin, Henry, Switzerland, Jefferson, Trimble"
KY,Carroll,President,,Evan Mcmullin,33.0,21,Kentucky,041,"Owen, Gallatin, Henry, Switzerland, Jefferson, Trimble"
KY,Carroll,President,Green Party ,Jill Stein,24.0,21,Kentucky,041,"Owen, Gallatin, Henry, Switzerland, Jefferson, Trimble"
KY,Carroll,President,,Rocky De La Fuente,4.0,21,Kentucky,041,"Owen, Gallatin, Henry, Switzerland, Jefferson, Trimble"
KY,Carroll,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,041,"Owen, Gallatin, Henry, Switzerland, Jefferson, Trimble"
KY,Carroll,President,,Write-In,0.0,21,Kentucky,041,"Owen, Gallatin, Henry, Switzerland, Jefferson, Trimble"
KY,Carter,President,Republican Party,Donald J. Trump,7587.0,21,Kentucky,043,"Elliott, Lewis, Rowan, Greenup, Lawrence, Boyd"
KY,Carter,President,Democratic Party,Hillary Clinton,2276.0,21,Kentucky,043,"Elliott, Lewis, Rowan, Greenup, Lawrence, Boyd"
KY,Carter,President,Libertarian Party,Gary Johnson,237.0,21,Kentucky,043,"Elliott, Lewis, Rowan, Greenup, Lawrence, Boyd"
KY,Carter,President,,Evan Mcmullin,109.0,21,Kentucky,043,"Elliott, Lewis, Rowan, Greenup, Lawrence, Boyd"
KY,Carter,President,Green Party ,Jill Stein,58.0,21,Kentucky,043,"Elliott, Lewis, Rowan, Greenup, Lawrence, Boyd"
KY,Carter,President,,Rocky De La Fuente,7.0,21,Kentucky,043,"Elliott, Lewis, Rowan, Greenup, Lawrence, Boyd"
KY,Carter,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,043,"Elliott, Lewis, Rowan, Greenup, Lawrence, Boyd"
KY,Carter,President,,Write-In,4.0,21,Kentucky,043,"Elliott, Lewis, Rowan, Greenup, Lawrence, Boyd"
KY,Casey,President,Republican Party,Donald J. Trump,5482.0,21,Kentucky,045,"Marion, Taylor, Russell, Boyle, Lincoln, Adair, Pulaski"
KY,Casey,President,Democratic Party,Hillary Clinton,767.0,21,Kentucky,045,"Marion, Taylor, Russell, Boyle, Lincoln, Adair, Pulaski"
KY,Casey,President,Libertarian Party,Gary Johnson,121.0,21,Kentucky,045,"Marion, Taylor, Russell, Boyle, Lincoln, Adair, Pulaski"
KY,Casey,President,,Evan Mcmullin,40.0,21,Kentucky,045,"Marion, Taylor, Russell, Boyle, Lincoln, Adair, Pulaski"
KY,Casey,President,Green Party ,Jill Stein,28.0,21,Kentucky,045,"Marion, Taylor, Russell, Boyle, Lincoln, Adair, Pulaski"
KY,Casey,President,,Rocky De La Fuente,1.0,21,Kentucky,045,"Marion, Taylor, Russell, Boyle, Lincoln, Adair, Pulaski"
KY,Casey,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,045,"Marion, Taylor, Russell, Boyle, Lincoln, Adair, Pulaski"
KY,Casey,President,,Write-In,0.0,21,Kentucky,045,"Marion, Taylor, Russell, Boyle, Lincoln, Adair, Pulaski"
KY,Christian,President,Republican Party,Donald J. Trump,14108.0,21,Kentucky,047,"Caldwell, Montgomery, Stewart, Trigg, Todd, Muhlenberg, Hopkins"
KY,Christian,President,Democratic Party,Hillary Clinton,7188.0,21,Kentucky,047,"Caldwell, Montgomery, Stewart, Trigg, Todd, Muhlenberg, Hopkins"
KY,Christian,President,Libertarian Party,Gary Johnson,474.0,21,Kentucky,047,"Caldwell, Montgomery, Stewart, Trigg, Todd, Muhlenberg, Hopkins"
KY,Christian,President,,Evan Mcmullin,179.0,21,Kentucky,047,"Caldwell, Montgomery, Stewart, Trigg, Todd, Muhlenberg, Hopkins"
KY,Christian,President,Green Party ,Jill Stein,120.0,21,Kentucky,047,"Caldwell, Montgomery, Stewart, Trigg, Todd, Muhlenberg, Hopkins"
KY,Christian,President,,Rocky De La Fuente,14.0,21,Kentucky,047,"Caldwell, Montgomery, Stewart, Trigg, Todd, Muhlenberg, Hopkins"
KY,Christian,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,047,"Caldwell, Montgomery, Stewart, Trigg, Todd, Muhlenberg, Hopkins"
KY,Christian,President,,Write-In,0.0,21,Kentucky,047,"Caldwell, Montgomery, Stewart, Trigg, Todd, Muhlenberg, Hopkins"
KY,Clark,President,Republican Party,Donald J. Trump,10710.0,21,Kentucky,049,"Bourbon, Estill, Madison, Powell, Fayette, Montgomery"
KY,Clark,President,Democratic Party,Hillary Clinton,4706.0,21,Kentucky,049,"Bourbon, Estill, Madison, Powell, Fayette, Montgomery"
KY,Clark,President,Libertarian Party,Gary Johnson,453.0,21,Kentucky,049,"Bourbon, Estill, Madison, Powell, Fayette, Montgomery"
KY,Clark,President,,Evan Mcmullin,203.0,21,Kentucky,049,"Bourbon, Estill, Madison, Powell, Fayette, Montgomery"
KY,Clark,President,Green Party ,Jill Stein,121.0,21,Kentucky,049,"Bourbon, Estill, Madison, Powell, Fayette, Montgomery"
KY,Clark,President,,Rocky De La Fuente,9.0,21,Kentucky,049,"Bourbon, Estill, Madison, Powell, Fayette, Montgomery"
KY,Clark,President,Constitution Party,Darrell Castle,3.0,21,Kentucky,049,"Bourbon, Estill, Madison, Powell, Fayette, Montgomery"
KY,Clark,President,,Write-In,0.0,21,Kentucky,049,"Bourbon, Estill, Madison, Powell, Fayette, Montgomery"
KY,Clay,President,Republican Party,Donald J. Trump,5861.0,21,Kentucky,051,"Leslie, Owsley, Jackson, Laurel, Perry, Bell, Knox"
