State,County,GeoFIPS,Region,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IL,Christian," ""17021""",3,Per capita personal income (dollars) 2/,Dollars,3793,3918,4346,4728,5716,6184,7153,7287,7860,7967,9108,9416,10902,11912,11924,13292,13592,14194,14481,14617,16611,17750,16984,18326,18566,19939,20048,22162,23052,23166,23577,24679,26165,26373,27018,28468,27496,28602,30908,33038,32946,34721,37447,36563,39205,38517,37896,38775,39866,42121,42576
IL,Clark," ""17023""",3,Per capita personal income (dollars) 2/,Dollars,3635,3649,3768,4402,5050,5237,6055,6124,6620,7450,8106,7760,9067,9933,10199,11055,11237,12085,12389,12487,14699,15300,15456,17475,17858,18466,18483,19940,20631,20680,21359,22927,24127,24061,25232,27711,27494,28732,30306,33123,32009,33899,36588,35385,38435,37220,36900,38048,39746,41716,42593
IL,Clay," ""17025""",3,Per capita personal income (dollars) 2/,Dollars,3099,3191,3457,4089,4520,4504,5361,5416,6011,6472,7191,7479,8937,9542,9715,10365,11795,11642,11912,13312,15074,15033,14401,16697,16901,17107,17534,18935,20203,20721,21039,22309,23046,22826,23973,26449,26538,27563,28751,31466,31234,32761,34242,35091,36130,35593,35903,36493,38951,40781,40308
IL,Clinton," ""17027""",3,Per capita personal income (dollars) 2/,Dollars,3186,3363,3650,3920,4607,5103,5654,6113,6748,7486,8298,8429,9587,10192,10895,12248,12340,13301,14270,15046,16327,16577,16678,18400,18849,19518,20185,21430,22693,23882,25124,26768,28174,28512,29733,30582,30783,32303,33239,35012,34868,36606,38522,38911,39687,40683,41761,43096,44800,46181,47653
IL,Coles," ""17029""",3,Per capita personal income (dollars) 2/,Dollars,3278,3471,3767,4176,4659,5102,5748,5873,6506,7124,7591,7917,9004,9709,10194,11144,11764,12401,13028,13699,15093,15752,16025,17421,18001,18851,19346,19992,21087,21942,22443,23565,24794,24966,25502,26128,26616,27415,28600,30402,30561,32260,34192,34226,35526,36892,37560,37818,39363,40679,41751
IL,Cook," ""17031""",3,Per capita personal income (dollars) 2/,Dollars,4759,5051,5334,5735,6308,6891,7364,8025,8826,9720,10647,11673,12847,13575,14273,15480,16276,17179,18197,19885,20767,22294,22559,23916,24457,25443,26931,28285,29836,31627,32655,35173,36229,36637,36873,38257,40466,43332,46513,46899,43394,44151,45833,48484,49832,53614,56543,57175,59443,63436,65306
IL,Crawford," ""17033""",3,Per capita personal income (dollars) 2/,Dollars,3303,3388,3791,4259,4971,5620,6296,6487,7153,7825,8744,8829,10621,11010,11278,12820,13340,13380,13829,14382,15628,16058,15512,17142,17988,18136,18100,19312,20046,20530,20850,22456,24403,24118,24399,26731,26833,30093,32255,36199,36953,37864,40464,41843,41788,43925,44247,43719,44542,45978,47935
IL,Cumberland," ""17035""",3,Per capita personal income (dollars) 2/,Dollars,3240,3095,3494,4166,4565,4792,5499,5451,6177,6865,7650,7073,7839,8562,9236,10336,11027,11849,12396,12284,14572,14972,15119,17266,18252,19038,19427,20679,21804,21865,23042,24079,25613,25035,25718,27354,26795,28270,30082,32276,31713,34230,35682,36336,45355,50140,56180,63693,71334,78504,83954
IL,DeKalb," ""17037""",3,Per capita personal income (dollars) 2/,Dollars,3673,3734,3969,4348,4925,5567,6241,6334,6928,8070,8798,9163,10331,11143,11259,13101,13780,13794,14391,15205,16700,17312,17193,18400,19114,20082,21065,22669,23567,24820,25733,26656,27940,28183,28936,29072,29439,30748,31609,31958,30741,31336,33932,33971,36150,36301,37508,38459,39484,40830,42120
IL,De Witt," ""17039""",3,Per capita personal income (dollars) 2/,Dollars,3694,3811,4238,4356,5380,5978,6880,7294,8278,8271,9406,9370,11054,11776,12032,14745,15366,13501,13402,14324,15676,15745,15980,17892,18350,20085,20825,22963,23577,24701,25702,26462,28124,28634,28701,30608,29692,31153,33434,36088,36307,37966,41378,42534,49828,48479,43462,45196,45201,47348,47023
IL,Douglas," ""17041""",3,Per capita personal income (dollars) 2/,Dollars,3936,4134,4597,5133,6061,6389,7451,7582,8052,8258,8878,8651,10220,10714,10981,12178,12441,13116,13243,13586,15541,16213,16433,17456,18295,19459,19482,21467,22194,22508,23567,25565,28560,28444,29950,32530,31410,33127,35450,37163,37435,39592,43163,41982,46892,45475,45858,46251,48556,51189,51859
IL,DuPage," ""17043""",3,Per capita personal income (dollars) 2/,Dollars,5296,5378,5809,6340,7021,7780,8279,9283,10259,11437,12633,13724,15090,15842,16860,18963,20224,21832,23491,25354,27246,27964,28488,30564,31557,32596,35127,37459,39538,42283,44820,47581,46709,46709,48178,50100,50311,54128,55151,54795,51431,52948,55570,58212,58785,62165,66016,66617,69386,72823,75137
IL,Edgar," ""17045""",3,Per capita personal income (dollars) 2/,Dollars,3760,3864,4323,5005,5940,6087,7030,7231,7623,8330,9162,8707,9927,10514,10573,11899,12452,12786,13233,13338,15548,15579,15269,16649,16370,17679,16831,19321,20294,22426,22643,25572,25646,23455,25292,27539,27076,28321,30219,33927,31740,32842,35175,34014,37803,36444,35981,38240,40432,41809,42665
IL,Edwards," ""17047""",3,Per capita personal income (dollars) 2/,Dollars,3088,3607,3648,4311,5518,5217,6358,6407,6485,7060,7742,7601,9353,10291,10704,11965,12418,13006,13546,13980,15800,15961,15240,17100,18067,18331,18087,20388,20642,19751,19928,21452,22780,23284,23715,26921,26048,28069,28602,30415,30201,31752,34819,35295,37832,36273,36759,36570,39303,40708,40991
IL,Effingham," ""17049""",3,Per capita personal income (dollars) 2/,Dollars,3199,3425,3833,4398,5024,5523,6122,6615,7239,8035,8787,8536,9453,10083,10691,11916,12264,12898,13773,14800,16819,17191,16765,18021,18437,19262,20403,21678,22537,23691,24068,25321,26997,27775,28495,29352,29513,31207,32900,34830,35556,38925,41123,41586,41886,43088,43384,45158,48170,49747,51296
IL,Fayette," ""17051""",3,Per capita personal income (dollars) 2/,Dollars,2749,2813,3048,3686,4177,4409,5025,5287,6001,6087,6890,6912,8069,8552,8900,9851,9890,10422,10838,11543,12970,12831,12987,14886,15339,15791,16383,17557,17664,18178,18493,19525,20247,20049,21268,23503,22678,23340,24533,26714,26974,28790,30700,30200,32181,30703,31688,32708,34099,35676,36310
IL,Ford," ""17053""",3,Per capita personal income (dollars) 2/,Dollars,4312,4431,5185,5453,6849,7102,8463,8607,9019,8968,10309,9687,11153,11799,11206,13559,14413,14793,15301,16243,17098,18889,17895,19651,20687,21429,21009,23837,24780,25655,26177,28684,30690,30595,31626,33373,32683,33799,35577,39184,39286,44026,45427,46182,50791,48315,47603,49433,47279,49447,50606
IL,Franklin," ""17055""",3,Per capita personal income (dollars) 2/,Dollars,2891,3158,3365,3819,4296,4555,5176,5608,6217,6673,7875,8592,9217,10345,10428,11391,12129,12188,12035,12502,13477,13764,13858,15053,15035,16178,16881,17309,17943,18808,19303,20425,22291,22787,23535,24079,24607,25620,27231,28158,29331,30964,32396,33389,33321,34010,34665,35094,36055,37463,38289
IL,Fulton," ""17057""",3,Per capita personal income (dollars) 2/,Dollars,3482,3687,3939,4405,5193,5508,6641,6958,7368,7624,8606,9129,10231,10432,10015,10881,11392,11908,12242,12668,13985,14263,14597,15670,16256,17094,17328,19023,20174,20806,21308,22461,23640,24493,25507,26083,26067,27232,28908,31004,30590,31527,33038,33310,34537,34273,34805,35559,36560,38025,38465
IL,Gallatin," ""17059""",3,Per capita personal income (dollars) 2/,Dollars,3070,3266,3282,3670,4083,4967,6133,5624,6149,6555,7599,7409,8365,8767,9642,11002,10800,11289,12034,12263,15233,15039,14581,17478,17124,17246,16810,18872,20037,19236,19821,21038,21167,22173,22338,23849,24104,25549,28150,31007,31810,34127,38421,36985,44593,39191,36527,38433,39669,40722,42451
IL,Greene," ""17061""",3,Per capita personal income (dollars) 2/,Dollars,3213,3214,3118,3438,4454,5078,5784,5551,6007,6740,7382,6971,8186,9047,9101,10281,10700,11112,11736,11562,13115,13164,12970,14668,14221,14506,14630,16692,17443,18131,18342,19854,22319,22089,24000,25754,24891,26598,28070,29585,29380,31804,33755,32434,36104,34334,32178,34068,34422,36366,36652
IL,Grundy," ""17063""",3,Per capita personal income (dollars) 2/,Dollars,4452,4635,4974,5272,6111,6840,7528,8078,8818,9529,10546,10898,12359,13126,12871,14746,15550,16245,16965,17621,19241,19694,19213,20771,21684,22886,23589,25245,26176,26902,27934,29035,33617,36873,37708,37206,35471,36882,40992,43093,41962,43726,54573,62393,54321,49866,48621,47135,49251,53947,55741
IL,Hamilton," ""17065""",3,Per capita personal income (dollars) 2/,Dollars,2572,2837,2931,3328,4275,4536,5283,4934,5382,5621,6339,6419,8040,8459,8337,10328,11446,11723,12077,11844,14090,13675,13421,15522,15804,16812,16776,18463,18596,18523,18573,20118,21531,21699,21731,24688,25623,26450,27718,30491,30978,33469,35541,35127,37994,37165,37891,39405,41112,42976,43609
IL,Hancock," ""17067""",3,Per capita personal income (dollars) 2/,Dollars,3175,3364,3807,4294,5272,5780,6683,6423,6866,7690,8633,8350,9490,10229,10114,11621,12376,12835,13329,13491,15119,15134,15712,17380,17462,19316,19268,21407,22157,22706,23083,24591,25003,24964,26253,28339,27179,28537,30563,34960,33514,35438,37839,38277,43444,42894,40785,41980,42119,44687,45052
IL,Hardin," ""17069""",3,Per capita personal income (dollars) 2/,Dollars,2242,2778,3084,3316,3439,3800,4700,4969,4772,4967,5375,5928,7089,8190,8626,9396,10071,10465,11273,12060,12953,13721,14649,15084,15257,15847,16437,17023,17424,18193,18657,18949,20180,20707,21866,22071,22041,23059,24570,25623,27281,28677,30529,32252,34137,34459,34914,36327,37639,36745,37438
IL,Henderson," ""17071""",3,Per capita personal income (dollars) 2/,Dollars,3642,3553,4019,4654,6138,5993,7412,6278,6715,7433,8232,7334,9526,9951,9254,11439,13147,12949,12990,12392,13446,14176,14821,16476,15801,17649,17030,20189,20582,21346,21704,23827,24203,23512,25710,26792,26141,26937,29335,32237,31739,31806,36653,36987,44255,40833,38473,40388,40628,42803,42414
IL,Henry," ""17073""",3,Per capita personal income (dollars) 2/,Dollars,3939,4109,4360,4919,5709,5993,6787,7104,7639,8280,9199,9515,10716,11219,10655,12478,13464,13525,14375,14808,15991,16604,16670,17942,18101,19096,19695,21584,22916,24271,24608,26051,27301,27665,28925,30189,30235,31838,33896,35683,35099,36778,39987,40382,43801,43015,42897,43170,44108,45614,46700
IL,Iroquois," ""17075""",3,Per capita personal income (dollars) 2/,Dollars,3829,3913,4434,4660,5950,6395,7486,7299,7902,8028,9240,8587,9581,10936,10647,12954,12951,13103,12781,13785,15666,16873,15980,17415,18539,19638,19698,21406,22042,22518,22998,24767,26102,26681,28194,29638,29159,31405,34132,36957,34768,36083,38864,38466,42747,40721,39950,42205,41534,44104,44994
IL,Jackson," ""17077""",3,Per capita personal income (dollars) 2/,Dollars,2660,2838,3128,3412,3965,4325,5142,5360,5707,6276,6972,7545,8325,9070,9700,10722,11021,11489,12248,12821,13982,14202,14637,15549,15852,16843,17974,18628,19595,20645,21517,22613,24210,25282,25537,25828,26103,26838,27846,29220,30099,31317,32048,32198,32294,32738,34439,34534,35718,36869,37967
IL,Jasper," ""17079""",3,Per capita personal income (dollars) 2/,Dollars,3029,3080,3401,4283,5086,4972,6052,6361,7606,7795,8473,7275,8710,9074,8924,10718,11144,11767,12379,12248,15248,15184,14605,17929,18360,19174,18302,20238,21227,20629,20598,22628,23057,22376,22933,26953,25650,27211,28502,32198,32257,35315,38848,39447,41875,39350,38705,40033,42127,42590,41811
IL,Jefferson," ""17081""",3,Per capita personal income (dollars) 2/,Dollars,2997,3335,3619,4116,4774,5178,5745,6148,6555,6822,7753,8323,9316,10282,10859,11857,12425,12793,13412,14204,14902,15140,15992,16749,16888,17591,18408,19083,19548,20509,20544,21868,24942,25596,26084,27864,28737,29850,30120,30700,30616,32434,33261,34105,34151,35693,36421,36729,38209,39471,40516
IL,Jersey," ""17083""",3,Per capita personal income (dollars) 2/,Dollars,3263,3359,3520,3898,4682,5102,5677,5887,6286,6938,7684,7988,9160,9403,9816,10846,11151,11786,12243,13096,14483,15044,15381,16942,17336,18654,19607,21040,22277,23179,24346,25793,26704,26510,27326,28545,28865,29784,30539,32657,32141,33908,35077,34613,35720,36210,36851,38449,39733,42068,42836
IL,Jo Daviess," ""17085""",3,Per capita personal income (dollars) 2/,Dollars,3332,3513,3923,4379,4802,5104,5528,6127,6454,7529,8022,8646,9933,10523,10665,12950,13383,13835,14626,15322,16199,17259,17511,19813,20324,21215,22522,24411,25571,28164,28296,28466,29212,28882,30270,31858,32200,34084,36358,37106,36358,37769,39964,40063,43250,43029,43729,44719,46083,47702,48743
IL,Johnson," ""17087""",3,Per capita personal income (dollars) 2/,Dollars,2556,2931,3352,3513,3800,3899,4553,4946,4860,5182,5604,6114,6886,7514,7910,9007,8887,9044,9478,9749,10788,11188,11360,12287,13024,13532,13822,14235,15107,15712,16695,17549,18394,19668,19583,19629,19909,20356,20958,21782,23859,26647,28008,29484,30721,30923,32598,33857,34988,35884,36717
IL,Kane," ""17089""",3,Per capita personal income (dollars) 2/,Dollars,4495,4705,5053,5515,6118,6631,7066,7789,8573,9405,10342,11201,12336,13441,14035,15337,16015,16851,17899,19262,20494,21501,21827,23111,24012,25034,25712,26542,27656,28417,29369,31005,32555,32239,32672,33604,35232,37180,38958,39683,37937,39075,41083,42301,43059,44463,46212,47269,49038,50542,52163
IL,Kankakee," ""17091""",3,Per capita personal income (dollars) 2/,Dollars,3586,3844,4200,4504,5166,5551,6080,6507,7076,7683,8299,8985,10127,10692,10977,12001,12563,13202,13870,14734,15782,16998,17059,18041,18824,19625,20884,21784,22285,23033,23730,25301,26320,26918,27382,28007,28916,30103,31403,32625,32066,32804,33798,34334,35600,36206,37579,38287,39672,41387,42687
IL,Kendall," ""17093""",3,Per capita personal income (dollars) 2/,Dollars,4729,4962,5204,5466,6192,7187,7626,8017,8780,9854,10597,11443,12438,12366,12495,14733,14928,15222,16106,17643,19368,20164,19637,20941,22493,23515,24339,25895,27320,28016,29483,31302,31758,31373,31428,32061,33418,35837,37887,38882,37864,38385,40045,40989,42042,42940,44733,45766,46881,48374,49931
IL,Knox," ""17095""",3,Per capita personal income (dollars) 2/,Dollars,3642,3970,4353,4785,5584,5939,6582,6988,7385,8094,8707,8979,10122,10832,10946,12099,12531,12968,13543,13894,15177,15677,16192,17469,17949,18576,19211,20788,21954,22789,23154,24082,25637,26189,27083,27390,27320,28308,30536,32645,32795,34086,35891,36003,37426,37138,37332,37794,37957,39748,40363
IL,Lake," ""17097""",3,Per capita personal income (dollars) 2/,Dollars,5309,5468,5843,6305,6949,7678,8194,9112,10031,11089,12139,13499,14934,16101,17053,19154,20344,21775,23259,25251,27224,29391,29294,31847,32448,33881,36340,38223,39743,42217,44178,47710,49242,49139,49978,51338,53568,57426,59853,60073,55348,56624,60290,65242,64603,68230,72322,72903,74555,78626,80973
IL,LaSalle," ""17099""",3,Per capita personal income (dollars) 2/,Dollars,3886,4026,4225,4583,5327,5947,6712,7151,7756,8542,9526,9641,10933,11602,11812,13458,13836,13945,14153,14591,16032,16154,16623,18212,18789,19741,20240,21672,22448,23276,24066,26155,26774,26996,27749,29786,30576,32169,33632,34477,34043,34933,37258,37377,39273,39789,40684,41555,43016,44739,46013
IL,Lawrence," ""17101""",3,Per capita personal income (dollars) 2/,Dollars,3291,3391,3449,3930,4676,5255,5657,6055,6561,7193,7940,8290,9777,10666,11546,12735,13134,12752,13027,13478,14724,15789,15755,18190,18688,19270,19417,20709,21340,22232,21800,24269,25671,25148,26161,30889,30353,30450,28987,35913,30869,31430,33905,32073,32912,32963,29097,28536,28615,30891,30877
IL,Lee," ""17103""",3,Per capita personal income (dollars) 2/,Dollars,3491,3422,3670,4141,4911,5549,6193,6376,6920,7867,8693,8741,10398,11420,11341,13578,14359,14241,14445,14826,15915,16386,15568,16956,17062,18453,18660,20793,21579,21755,22413,23801,24741,25467,26859,27366,27600,29029,31254,31921,31729,32989,36579,36162,40357,39336,38640,39114,40024,41700,42776
IL,Livingston," ""17105""",3,Per capita personal income (dollars) 2/,Dollars,3807,3941,4332,4569,5742,6045,7116,7380,7746,8030,9442,9426,11192,11714,11242,13372,13589,14163,14417,15081,16602,18025,17179,18263,19438,20983,20014,22693,23115,23393,24702,26323,28031,28097,29271,30665,30193,31094,33309,36148,33781,35860,38036,38186,42808,40499,40025,43058,42671,45315,45090
IL,Logan," ""17107""",3,Per capita personal income (dollars) 2/,Dollars,3485,3636,4009,4359,5307,5879,6719,6986,7537,8011,8799,8801,10436,11183,11389,13068,13161,13451,13986,13943,15472,16082,16190,17479,17853,18630,18480,20260,20873,20694,21762,23161,24394,24039,24305,25548,24960,25958,27924,29578,29702,30376,32866,31587,36237,34167,34044,35171,35692,37375,37660
IL,McDonough," ""17109""",3,Per capita personal income (dollars) 2/,Dollars,2886,2981,3232,3389,4048,4333,5278,5236,5571,6226,7240,7293,8346,8727,8909,10024,10451,10902,11232,11521,13122,13402,13997,15468,15709,16623,17483,19100,20186,20468,20986,22208,23320,23119,23631,24827,24561,26001,27402,29884,30791,32284,34042,33737,36860,36498,36076,36927,37337,38551,38550
IL,McHenry," ""17111""",3,Per capita personal income (dollars) 2/,Dollars,4604,4709,5243,5745,6256,6809,7244,8018,8791,9774,10633,11400,12831,13593,14353,15987,16896,17982,18971,20525,21931,22304,22238,23709,24406,25285,26422,27550,28947,29732,31255,33875,35827,36317,36923,38014,39671,42028,42982,43397,41259,41628,43642,45615,46608,48056,50069,51570,53242,54882,56711
IL,McLean," ""17113""",3,Per capita personal income (dollars) 2/,Dollars,3879,4056,4398,4573,5329,5913,6988,7377,7931,8481,9467,10050,11395,12180,12328,13668,14213,14762,15292,16131,17998,19062,19215,20771,21107,22558,23308,24780,25797,26981,28650,30113,32136,32445,33200,34008,34296,36538,37696,39418,39034,40175,42313,42645,43598,43704,46027,46852,47438,49236,49602
IL,Macon," ""17115""",3,Per capita personal income (dollars) 2/,Dollars,3971,4277,4572,4954,5471,6022,6511,7088,7628,8321,8889,9850,11091,11583,11657,13073,13793,14384,15265,16119,17661,18350,18560,19875,20317,21001,21682,23326,24063,25421,27004,27874,30290,30607,30504,31944,32753,34668,36861,38960,38837,39425,41577,41666,42962,44647,44658,45196,45767,48206,48764
IL,Macoupin," ""17117""",3,Per capita personal income (dollars) 2/,Dollars,3494,3695,3995,4345,5036,5416,5996,6292,6781,7628,8782,8892,10025,10746,10597,11759,12088,12929,13413,13598,15443,16339,16374,17924,18699,19449,19755,21251,22261,22855,22846,24206,25218,25595,26903,27654,27823,28995,30214,31978,32118,33162,34732,34494,36862,36386,37370,38151,39443,41342,42341
IL,Madison," ""17119""",3,Per capita personal income (dollars) 2/,Dollars,3954,4121,4325,4641,5130,5630,6183,6782,7516,8336,9169,10122,11135,11939,12575,13645,14139,14862,15450,16432,17539,18199,18321,19424,20022,20790,21782,22739,23815,24628,25520,26671,28097,28926,29830,30453,31598,33038,34036,36110,35702,36857,38102,38696,39211,40865,42602,43190,44715,46698,48222
IL,Marion," ""17121""",3,Per capita personal income (dollars) 2/,Dollars,3254,3488,3846,4263,4797,5018,5652,6047,6473,6965,7840,8375,9292,10071,10578,11456,12075,12468,13117,14091,15373,15419,16026,17710,18375,18765,19672,20447,21202,21878,22282,22994,24877,25462,26305,26965,27729,28808,29425,31493,32299,34313,35268,35167,36510,37175,38729,38391,40378,41792,42895
IL,Marshall," ""17123""",3,Per capita personal income (dollars) 2/,Dollars,4017,4016,4257,4684,5523,6097,7335,7345,8180,8861,9719,9454,11431,11630,11144,12853,13384,13684,14090,14450,16000,16971,16574,18138,18969,20507,20251,23067,24077,25227,25064,26584,27190,27239,28052,30658,29880,31424,33614,36230,34976,34481,38865,39110,44245,42400,42064,44094,43805,46244,45901
IL,Mason," ""17125""",3,Per capita personal income (dollars) 2/,Dollars,4122,4182,4356,4476,5584,5878,7009,7033,7523,8075,8629,8679,10197,10524,9676,11387,12386,12626,12861,12954,14554,14670,14758,16518,17377,18110,18236,20659,21663,23013,23163,24899,25982,25060,25355,27309,25954,27671,30095,32710,33175,34368,37960,37520,41268,38963,36853,38867,39098,41437,41137
IL,Massac," ""17127""",3,Per capita personal income (dollars) 2/,Dollars,2752,3076,3362,3649,4150,4472,5220,5433,5898,6448,6936,7553,8219,8893,9332,10148,11343,10828,11240,11692,13320,13777,14089,15154,16302,16865,17768,18525,19512,20028,20156,21299,22984,23090,23608,24586,25091,25883,27146,28517,29481,30965,32181,33116,33490,33833,34611,35994,36449,37465,38926
IL,Menard," ""17129""",3,Per capita personal income (dollars) 2/,Dollars,4263,4612,5120,5521,6785,7117,8202,8277,8917,9292,10101,9575,11410,12140,11840,13599,13917,14338,15029,15308,17110,18226,18491,20315,20719,22556,22419,24693,25522,26456,26908,28513,30640,30396,31289,32622,31374,32338,34238,36099,36524,37557,39673,38609,42334,40892,41672,42567,44522,46249,47012
IL,Mercer," ""17131""",3,Per capita personal income (dollars) 2/,Dollars,3749,3815,3868,4432,5392,6016,7115,6792,6940,7785,8519,8616,10591,11005,9959,12309,12954,12878,13661,13587,14950,15816,16430,18088,17960,18838,19162,21740,23044,23555,23301,24710,26052,25986,27714,29600,30189,31276,33575,36492,35637,37053,40716,41540,45567,44560,42663,44415,45237,46992,47701
IL,Monroe," ""17133""",3,Per capita personal income (dollars) 2/,Dollars,3718,3835,4357,4576,5292,5616,6333,6868,7384,8359,9529,10582,11204,12261,13179,14684,14483,15571,16059,16766,18330,18253,18344,19971,20436,21768,23213,24760,26601,28069,28609,30674,31577,31572,32530,34723,35740,38764,40636,43870,42464,44504,46141,47798,48296,50661,53146,54815,55502,57267,59125
IL,Montgomery," ""17135""",3,Per capita personal income (dollars) 2/,Dollars,3343,3521,3830,4212,5022,5419,6247,6463,6951,7265,8520,8774,9678,10324,10271,11414,11711,12297,13045,13402,14689,15189,15232,16949,17243,18098,18123,19876,20531,20684,21287,22622,23827,23384,24105,25356,25096,25806,27118,28372,28929,30329,32044,31177,34175,32171,32086,33249,34500,35850,36324
IL,Morgan," ""17137""",3,Per capita personal income (dollars) 2/,Dollars,3653,3880,4214,4652,5460,5816,6618,7072,7477,7984,8828,9184,10516,11381,11488,12806,13153,13559,13867,14177,15977,16267,16281,17787,17852,18984,19092,20644,21613,21832,22850,23891,25595,26100,27240,27861,27105,27959,29652,31362,32438,34167,35887,36050,37297,36778,37376,38079,38841,39774,40560
IL,Moultrie," ""17139""",3,Per capita personal income (dollars) 2/,Dollars,3830,3870,4234,4890,5815,6416,7275,7304,7700,8289,8650,8697,10008,10331,10446,11603,11985,12748,13557,13328,15041,15800,16386,17569,18617,19490,18798,21077,21412,21897,23165,24429,30381,31230,32809,37765,36432,37935,39978,40370,35579,42138,51050,58747,56819,54824,51520,51485,57522,63623,64409
IL,Ogle," ""17141""",3,Per capita personal income (dollars) 2/,Dollars,3977,4186,4566,4896,5566,5706,6582,6916,7565,7845,8512,8673,10142,11083,11229,12980,14088,14356,14940,15505,16663,17079,16955,18314,18636,20013,20611,22061,22889,23945,24613,26488,27181,27506,28417,29329,30108,31883,33916,35490,33887,35382,38555,38483,41428,41296,41439,43285,44838,46674,47369
